t,trace_t_start,reposition_status,reposition_sol_count,reposition_runtime_sec,reposition_build_time_sec,reposition_candidate_prep_time_sec,reposition_vars_build_time_sec,reposition_expressions_build_time_sec,reposition_constraints_build_time_sec,reposition_objective_build_time_sec,reposition_optimize_time_sec,reposition_wall_time_sec,reposition_outcome,reposition_note,reposition_num_vars,reposition_num_constrs,reposition_num_nz,reposition_iter_count,reposition_bar_iter_count,reposition_obj_val,reposition_obj_bound,reposition_solver_method,reposition_solver_crossover,reposition_numeric_focus,reposition_presolve,reposition_lp_warm_start_enabled,reposition_lp_warm_start_mode,reposition_lp_warm_start_applied,reposition_lp_warm_start_var_count,reposition_lp_warm_start_nonzero_count,reposition_lp_warm_start_note,reposition_use_preaggregation,reposition_use_aux_elimination,x_var_count,y_var_count,v_var_count,o_var_count,r_var_count,b_var_count,mu_var_count,served_var_count,full_stock_var_count,vacant_split_constr_count,b_def_constr_count,mu_le_b_constr_count,swap_cap_constr_count,full_dyn_constr_count,served_by_supply_constr_count,o_dyn_constr_count,v_dyn_constr_count,error,swap_requests,successful_swaps,charging_deadline_misses,waiting_vehicles
0,0,2,1,22.467406034469604,11.386732375016436,0.39236300002085045,3.180668457993306,4.650987541012,2.8986699170200154,0.23838229203829542,22.466587541042827,34.246542208013125,optimized,,680265,218360,7941532,0.0,52,1873.0617704386393,1873.0617789602886,2,0,0,-1,1,2,1,680265,1325,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,1464,971,0,493
1,1,2,1,14.438005924224854,11.554346333956346,0.3762410000199452,2.989286208001431,4.376720459025819,3.54699400003301,0.233518292021472,14.438064750051126,26.373868833004963,optimized,,680265,218360,7511132,0.0,54,1771.3714908576048,1771.3715005723202,2,0,0,-1,1,2,1,680265,775,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,506,6,0,500
2,2,2,1,16.688973903656006,10.723319333046675,0.38113820902071893,2.758054457954131,4.547421791998204,2.757372457999736,0.24072991701541469,16.689068333012983,27.79827191599179,optimized,,680265,218360,7177452,0.0,67,1904.992781938865,1904.9927822832585,2,0,0,-1,1,2,1,680265,780,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,544,19,0,525
3,3,2,1,13.415632009506226,10.678854166006204,0.38778499996988103,3.016274749999866,4.273044332978316,2.7344835000112653,0.241125833010301,13.41575812496012,24.48779308295343,optimized,,680265,218360,7532812,0.0,41,1913.7443519501558,1913.7443596042262,2,0,0,-1,1,2,1,680265,755,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,529,6,0,523
4,4,2,1,12.361544847488403,11.416271916998085,0.3798785830149427,3.1373133750166744,4.596017334028147,3.017879124963656,0.24155120801879093,12.361678499961272,24.16314662498189,optimized,,680265,218360,8295132,0.0,40,2062.6819417671227,2062.6819508595063,2,0,0,-1,1,2,1,680265,755,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,545,5,0,540
5,5,2,1,12.952194929122925,11.929403708025347,0.3852214170037769,3.366311500023585,4.767808665987104,3.108114500006195,0.2539039159892127,12.952327332983259,25.273211624997202,optimized,,680265,218360,7799612,0.0,42,2197.7282058496567,2197.728222239615,2,0,0,-1,1,2,1,680265,750,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,549,7,0,542
6,6,2,1,12.698292970657349,11.946380291017704,0.3918772909673862,3.0448263339931145,5.17679749999661,3.045845833956264,0.24259725003503263,12.69842783297645,25.04240266600391,optimized,,680265,218360,8253772,0.0,47,2384.5543270728017,2384.5543290941087,2,0,0,-1,1,2,1,680265,745,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,544,4,0,540
7,7,2,1,9.833513975143433,12.077810707967728,0.37831729103345424,2.9620936249848455,4.791177541017532,3.685931082989555,0.2327262500184588,9.833674625027925,22.295302416023333,optimized,,680265,218360,7844492,0.0,38,2496.656901764462,2496.6569145739654,2,0,0,-1,1,2,1,680265,750,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,552,13,0,539
