combo,total_served_mean,total_served_std,battery_swap_success_ratio_mean,battery_swap_success_ratio_std,deadline_miss_ratio_mean,deadline_miss_ratio_std,charging_deadline_miss_ratio_mean,charging_deadline_miss_ratio_std
algorithm_plus_gurobi,77613.66666666667,6455.288045470938,0.15314110747899945,0.0287981408376679,0.8468588925210006,0.028798140837667973,0.07154395787449212,0.05567448812541126
heuristic_plus_fcfs,36284.333333333336,3285.0611866447784,0.8969225796559996,0.07942965092634638,0.10307742034400026,0.07942965092634637,0.10893015305494796,0.0723295784407309
ideal_plus_fcfs,67840.44444444444,6051.727297043197,1.0,0.0,0.0,0.0,0.4403922241944308,0.11480129626839294
