avg_waiting_time_for_battery_slots,battery_swap_success_ratio,chargers_per_station,charging_deadline_miss_ratio,charging_solver,combo,deadline_miss_ratio,effective_horizon,group_id,inventory_per_station,max_charging_power_demand_kw,max_charging_power_kw,max_station_total_power_kw,max_total_charging_demand_kw,max_waiting_vehicles_by_station_top5,peak_station_power_kw,reposition_event_no_incumbent_count,reposition_event_optimized_after_retry_count,reposition_event_outcome_counts,reposition_event_retry_count,reposition_event_second_pass_method0_count,reposition_event_status_counts,reposition_idle_cost_weight,reposition_low_energy_swap_bonus,reposition_service_discount_gamma,reposition_solver,reposition_step_no_solution_steps,reposition_step_outcome_counts,reposition_step_runtime_sec_avg,reposition_step_runtime_sec_max,reposition_step_runtime_sec_p95,reposition_step_status_counts,reposition_top_swap_targets,sim_date,sim_end_hour,sim_start_hour,steps,swap_capacity_per_station,total_charging_deadline_missed_slots,total_charging_deadline_misses,total_charging_demand,total_deadline_misses,total_idle_driving_distance,total_idle_moves,total_number_of_swaps,total_served,total_swap_arrivals,total_swap_requests,total_unmet_battery_demand,total_waiting_vehicles,waiting_vehicle_slots_by_station_top5,waiting_vehicles_p50,waiting_vehicles_p90,waiting_vehicles_p99
0.881399870382372,0.118600129617628,3,0.0692167577413479,gurobi,algorithm_plus_gurobi,0.881399870382372,64,G1,4,25590.0,20310.0,25610.0,25590.0,"{'121': 16, '264': 16, '212': 15, '98': 14, '174': 14}",110.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,gurobi,0,"{""optimized"": 63}",11.036531709489369,16.480576992034912,14.672792148590087,"{""2"": 63}",3,2025-11-01,22,6,64,4,1344,114,25958,12240,39489.0,162385,1647,81499,1696,13887,12240,12240,"{'121': 758, '98': 659, '212': 657, '174': 599, '193': 529}",177.0,358.7,363.37
0.8791706792046677,0.12082932079533223,3,0.14767932489451477,gurobi,algorithm_plus_gurobi,0.8791706792046677,64,G2,6,35880.0,21810.0,27110.0,35880.0,"{'64': 15, '212': 15, '27': 14, '39': 14, '98': 14}",110.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,gurobi,0,"{""optimized"": 63}",10.717052701919798,21.787226915359497,14.721167111396786,"{""2"": 63}",3,2025-11-01,22,6,64,4,4233,315,36023,15520,37995.0,162548,2133,79953,2147,17653,15520,15520,"{'64': 611, '246': 544, '212': 537, '27': 495, '39': 480}",204.0,511.0,557.5099999999996
0.855945521215296,0.14405447878470404,5,0.01090909090909091,gurobi,algorithm_plus_gurobi,0.855945521215296,64,G3,6,35820.0,28770.0,34070.0,35820.0,"{'259': 17, '64': 15, '212': 15, '27': 14, '39': 14}",170.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,gurobi,0,"{""optimized"": 63}",10.70323387781779,21.702306985855103,14.13702883720398,"{""2"": 63}",3,2025-11-01,22,6,64,4,225,24,36099,13072,37800.0,165600,2200,80287,2217,15272,13072,13072,"{'259': 570, '64': 483, '212': 395, '246': 365, '39': 362}",131.0,514.4,559.3999999999996
0.8658618376928237,0.1341381623071764,3,0.07125,gurobi,algorithm_plus_gurobi,0.8658618376928237,64,G1,4,24090.0,19590.0,24890.0,24090.0,"{'53': 21, '46': 15, '263': 15, '65': 13, '94': 12}",110.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,gurobi,0,"{""optimized"": 63}",9.641483779937502,14.197918176651001,11.841467833518982,"{""2"": 63}",3,2025-11-05,22,6,64,4,1465,114,26673,10328,41332.0,158079,1600,83484,1706,11928,10328,10328,"{'53': 816, '46': 721, '263': 504, '174': 471, '217': 417}",166.5,223.4,255.37
0.8559575939156487,0.14404240608435123,3,0.13813333333333333,gurobi,algorithm_plus_gurobi,0.8559575939156487,64,G2,6,31560.0,21120.0,26420.0,31560.0,"{'253': 18, '126': 16, '46': 15, '64': 15, '98': 13}",110.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,gurobi,0,"{""optimized"": 63}",9.990714773299201,15.56563401222229,12.946691060066222,"{""2"": 63}",3,2025-11-05,22,6,64,4,3517,259,31287,11142,39869.0,161673,1875,83193,1940,13017,11142,11142,"{'126': 735, '253': 716, '64': 612, '46': 548, '174': 479}",170.0,297.7,312.0
0.8081417624521072,0.19185823754789272,5,0.010484273589615577,gurobi,algorithm_plus_gurobi,0.8081417624521072,64,G3,6,31830.0,28200.0,33500.0,31830.0,"{'253': 18, '46': 15, '64': 15, '126': 14, '98': 13}",170.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,gurobi,0,"{""optimized"": 63}",10.296621852450901,16.092385053634644,13.584192728996277,"{""2"": 63}",3,2025-11-05,22,6,64,4,209,21,31569,8437,40533.0,166199,2003,82609,2029,10440,8437,8437,"{'253': 561, '46': 446, '64': 434, '126': 364, '98': 351}",104.5,288.8,301.0
0.8395132700967711,0.1604867299032289,3,0.05970149253731343,gurobi,algorithm_plus_gurobi,0.8395132700967711,64,G1,4,25140.0,19680.0,24980.0,25140.0,"{'180': 16, '90': 11, '134': 11, '174': 11, '168': 10}",110.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,gurobi,0,"{""optimized"": 63}",10.064928569490947,14.921621799468994,12.831602239608765,"{""2"": 63}",3,2025-11-09,22,6,64,4,1200,100,26312,8762,36888.0,156919,1675,69968,1737,10437,8762,8762,"{'90': 458, '134': 432, '168': 413, '174': 380, '202': 351}",115.5,279.1,286.37
0.8357212512189633,0.16427874878103668,3,0.1273972602739726,gurobi,algorithm_plus_gurobi,0.8357212512189633,64,G2,6,36780.0,22050.0,27350.0,36780.0,"{'212': 15, '115': 14, '76': 12, '90': 11, '134': 11}",110.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,gurobi,0,"{""optimized"": 63}",9.66925348932781,15.579206943511963,12.98499937057495,"{""2"": 63}",3,2025-11-09,22,6,64,4,3547,279,35936,11141,34614.0,158011,2190,68601,2233,13331,11141,11141,"{'212': 588, '90': 357, '27': 355, '76': 336, '134': 300}",112.5,418.0,421.37
0.8000182465103549,0.19998175348964511,5,0.009124087591240875,gurobi,algorithm_plus_gurobi,0.8000182465103549,64,G3,6,36780.0,27540.0,32840.0,36780.0,"{'115': 17, '212': 15, '76': 12, '90': 11, '134': 11}",170.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,gurobi,0,"{""optimized"": 63}",9.646909744020492,14.908177137374878,12.866742873191834,"{""2"": 63}",3,2025-11-09,22,6,64,4,200,20,33856,8769,34444.0,160587,2192,68929,2239,10961,8769,8769,"{'212': 409, '76': 317, '90': 242, '174': 240, '134': 236}",42.5,389.0,394.74
0.0,1.0,3,0.11125158027812895,fcfs,heuristic_plus_fcfs,0.0,64,G1,4,21150.0,18510.0,23810.0,21150.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,0,0,{},0,0,{},0.05,0.2,1.0,heuristic,0,{},0.0,0.0,0.0,{},3,2025-11-01,22,6,64,4,1386,88,14607,0,0.0,40064,791,39273,791,791,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
