baseline,n_pairs,n_nonzero_pairs,mean_delta_total_served,median_delta_total_served,pvalue_sign_test_two_sided
heuristic_plus_fcfs,9,9,41329.333333333336,41344.0,0.00390625
ideal_plus_fcfs,9,9,9773.222222222223,7728.0,0.00390625
