t,trace_t_start,reposition_status,reposition_sol_count,reposition_runtime_sec,reposition_build_time_sec,reposition_candidate_prep_time_sec,reposition_vars_build_time_sec,reposition_expressions_build_time_sec,reposition_constraints_build_time_sec,reposition_objective_build_time_sec,reposition_optimize_time_sec,reposition_wall_time_sec,reposition_outcome,reposition_note,reposition_num_vars,reposition_num_constrs,reposition_num_nz,reposition_iter_count,reposition_bar_iter_count,reposition_obj_val,reposition_obj_bound,reposition_solver_method,reposition_solver_crossover,reposition_numeric_focus,reposition_presolve,reposition_lp_warm_start_enabled,reposition_lp_warm_start_mode,reposition_lp_warm_start_applied,reposition_lp_warm_start_var_count,reposition_lp_warm_start_nonzero_count,reposition_lp_warm_start_note,reposition_use_preaggregation,reposition_use_aux_elimination,x_var_count,y_var_count,v_var_count,o_var_count,r_var_count,b_var_count,mu_var_count,served_var_count,full_stock_var_count,vacant_split_constr_count,b_def_constr_count,mu_le_b_constr_count,swap_cap_constr_count,full_dyn_constr_count,served_by_supply_constr_count,o_dyn_constr_count,v_dyn_constr_count,error,swap_requests,successful_swaps,charging_deadline_misses,waiting_vehicles
10,10,2,1,11.111510992050171,11.518503750034142,0.36904804199002683,2.8912138330051675,4.7840005829930305,3.1948624160140753,0.24046879197703674,11.111638250004034,23.003394833009224,optimized,,680265,218360,9247372,0.0,42,2895.087518190723,2895.087538457973,2,0,0,-1,1,2,1,680265,780,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,530,16,0,514
11,11,2,1,15.581668138504028,12.454611541004851,0.38112983404425904,3.1066958750016056,4.69173908297671,4.001507458044216,0.24124270799802616,15.581426416989416,28.42199308302952,optimized,,680265,218360,8717372,0.0,55,3035.2645893207905,3035.2645904294686,2,0,0,-1,1,2,1,680265,785,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,525,21,0,504
12,12,2,1,11.191118001937866,11.540935541968793,0.3784459169837646,2.9096567090018652,4.843065374996513,3.1379804160096683,0.2394204590236768,11.191194834013004,23.11521391599672,optimized,,680265,218360,8535532,0.0,40,3198.1730697580615,3198.1730803090404,2,0,0,-1,1,2,1,680265,850,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,510,33,0,477
13,13,2,1,11.611328125,12.373069999972358,0.3734139170264825,2.945788416021969,5.433499082981143,3.3386784589965828,0.2419009170262143,11.611446832946967,24.36198416701518,optimized,,680265,218360,8406652,0.0,40,3379.948475235143,3379.948479727561,2,0,0,-1,1,2,1,680265,850,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,477,26,0,451
14,14,2,1,10.925961017608643,11.901983708026819,0.3745860000490211,2.9643067499855533,4.877233875042293,3.4062575839925557,0.24112691701157019,10.926081666024402,23.20695954200346,optimized,,680265,218360,8517612,0.0,38,3482.9746786118876,3482.9746873824456,2,0,0,-1,1,2,1,680265,885,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,453,37,0,416
15,15,2,1,10.35890793800354,12.336900583002716,0.36735750001389533,3.0114984999527223,5.236476916994434,3.42891141603468,0.24116737500298768,10.359036292007659,23.06756137497723,optimized,,680265,218360,8785612,0.0,39,3484.646508793085,3484.6465125103146,2,0,0,-1,1,2,1,680265,945,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,420,58,0,362
16,16,2,1,10.484965085983276,12.598323791986331,0.37331037496915087,2.9268062909832224,4.953177749994211,4.059127125015948,0.24388412502594292,10.485116833006032,23.461277083028108,optimized,,680265,218360,8862652,0.0,38,3543.123049852982,3543.1230634667304,2,0,0,-1,1,2,1,680265,975,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,364,51,0,313
17,17,2,1,14.41423487663269,12.893799374985974,0.3758092499920167,2.8588454170385376,5.013726915989537,4.350734250037931,0.24156004103133455,14.414330790983513,27.688335708982777,optimized,,680265,218360,9292092,0.0,53,3678.994951996693,3678.9949532355377,2,0,0,-1,1,2,1,680265,1110,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,318,52,0,266
18,18,2,1,14.596524953842163,13.031380791042466,0.3721938749658875,2.8856680410099216,5.718288959003985,3.7542297919862904,0.24690187495434657,14.596619333024137,28.004295582999475,optimized,,680265,218360,9349372,0.0,49,3905.2218667453003,3905.221895184266,2,0,0,-1,1,2,1,680265,1190,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,272,53,0,219
19,19,2,1,9.620292901992798,12.608041999978013,0.36946737504331395,3.0384275420219637,5.224146040971391,3.6807382499682717,0.244933458045125,9.620466249994934,22.602425957971718,optimized,,680265,218360,9157932,0.0,35,3979.724549957175,3979.7245766023207,2,0,0,-1,1,2,1,680265,1215,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,233,51,0,182
20,20,2,1,11.522953033447266,12.632040166994557,0.37464945897227153,3.2250597499660216,5.182973957969807,3.5685142910224386,0.23780041694408283,11.523074041004293,24.53488550003385,optimized,,680265,218360,8979052,0.0,35,4037.649982431032,4037.650022641957,2,0,0,-1,1,2,1,680265,1180,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,200,32,0,168
21,21,2,1,14.018721103668213,13.423075583006721,0.37365141697227955,3.1339287090231664,5.219931999978144,4.403773291036487,0.2471136249951087,14.018819292017724,27.819717000005767,optimized,,680265,218360,9698092,0.0,47,3995.8226405240307,3995.8226754430866,2,0,0,-1,1,2,1,680265,1175,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,187,30,0,157
22,22,2,1,10.257513046264648,13.481750375009142,0.3703315829625353,2.913345625041984,5.349237875023391,4.548316915985197,0.24786170903826132,10.257640625000931,24.114056874997914,optimized,,680265,218360,9134652,0.0,40,3967.5295215516703,3967.5295468094105,2,0,0,-1,1,2,1,680265,1185,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,168,27,0,141
23,23,2,1,11.088819980621338,13.356108916981611,0.37431633297819644,3.0490362919517793,5.718353207979817,3.926689875021111,0.24143454199656844,11.088943083013874,24.824656915967353,optimized,,680265,218360,8988172,0.0,39,3964.0043682399278,3964.0043738803347,2,0,0,-1,1,2,1,680265,1195,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,146,17,0,129
24,24,2,1,9.716449975967407,13.287720833963249,0.3761127080069855,3.195466416014824,5.498839666950516,3.920839291997254,0.24247925000963733,9.7165799170034,23.38548900000751,optimized,,680265,218360,9146252,0.0,33,4014.7941797880803,4014.794210993562,2,0,0,-1,1,2,1,680265,1200,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,139,19,0,120
25,25,2,1,10.54826807975769,13.136781457986217,0.36902366700815037,3.2640705829835497,5.369834666955285,3.8273582499823533,0.24618779198499396,10.548395875026472,24.058378832996823,optimized,,680265,218360,9552172,0.0,42,3994.5686004922527,3994.5686060536023,2,0,0,-1,1,2,1,680265,1265,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,133,32,0,101
26,26,2,1,9.560368061065674,13.370563582982868,0.3761507500312291,3.315447375003714,5.598929083964322,3.7848353749723174,0.24294454196933657,9.560499750019517,23.312399665999692,optimized,,680265,218360,9456252,0.0,35,3968.7422543887005,3968.7422584318692,2,0,0,-1,1,2,1,680265,1275,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,112,33,0,79
27,27,2,1,10.225128173828125,13.337485625001136,0.37028304202249274,3.200468458002433,5.670509000017773,3.7842362920055166,0.2500125000369735,10.225258874997962,23.937301542027853,optimized,,680265,218360,9036572,0.0,35,3896.3170714755515,3896.3170804759534,2,0,0,-1,1,2,1,680265,1280,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,92,28,0,64
28,28,2,1,12.762680053710938,13.724745249957778,0.3739131250185892,3.1923413749900647,5.731795792002231,4.123125082987826,0.2443465840187855,12.762791957997251,26.86567254201509,optimized,,680265,218360,10028492,0.0,40,3918.508054845899,3918.508070445955,2,0,0,-1,1,2,1,680265,1300,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,81,29,0,52
29,29,2,1,10.921406984329224,13.163680500001647,0.39412112499121577,3.2800112499971874,5.3672636250266805,3.8382847089669667,0.24665641703177243,10.921530874969903,24.48373158398317,optimized,,680265,218360,9619052,0.0,34,3933.691571885037,3933.69157332116,2,0,0,-1,1,2,1,680265,1295,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,64,24,0,40
30,30,2,1,10.33196496963501,13.726079332991503,0.3817591670085676,3.2148121249629185,5.25986104196636,4.576427416992374,0.24489100003847852,10.332093124976382,24.444186665990856,optimized,,680265,218360,9634172,0.0,35,3991.679225956327,3991.6792289970304,2,0,0,-1,1,2,1,680265,1295,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,43,11,0,32
31,31,2,1,12.504005908966064,13.366994375013746,0.3732602499658242,2.980104999965988,5.310827875044197,4.413630041992292,0.23906054202234372,12.504124917031731,26.248777500004508,optimized,,680265,218360,9355292,0.0,41,4020.4411233845794,4020.4411491134274,2,0,0,-1,1,2,1,680265,1305,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,43,13,0,30
32,32,2,1,13.010684967041016,13.428312959033065,0.371495291008614,3.115146791038569,5.6282875839970075,4.008606040966697,0.24464604200329632,13.010794250003528,26.814818209037185,optimized,,680265,218360,9655292,0.0,44,4047.376189533769,4047.376218075131,2,0,0,-1,1,2,1,680265,1305,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,38,11,0,27
33,33,2,1,11.154855966567993,13.528487041010521,0.3747886250494048,3.0644175830530003,5.766664916998707,4.0074673750204965,0.25029920804081485,11.154973790980875,25.06249983399175,optimized,,680265,218360,10287532,0.0,36,4020.823484823194,4020.8234872019084,2,0,0,-1,1,2,1,680265,1305,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,38,15,0,23
34,34,2,1,9.889083862304688,13.806880457967054,0.36951274995226413,3.143866666010581,5.444913290964905,4.538275542028714,0.25159716699272394,9.889214500028174,24.069943625014275,optimized,,680265,218360,9364092,0.0,32,4016.8555670962346,4016.8555726687514,2,0,0,-1,1,2,1,680265,1305,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,29,10,0,19
35,35,2,1,11.86239504814148,13.810485041001812,0.37414124998031184,2.892729709041305,6.395154875004664,3.8406398330116645,0.25118812499567866,11.862510332954116,26.05165116704302,optimized,,680265,218360,9342012,0.0,43,4119.341338752934,4119.341355233392,2,0,0,-1,1,2,1,680265,1315,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,22,7,0,15
36,36,2,1,13.025449991226196,13.322395458002575,0.3730393329751678,2.958149499958381,5.931536249991041,3.7522933750296943,0.250793875020463,13.025558541994542,26.725461833004374,optimized,,680265,218360,9174812,0.0,51,3976.6497602761606,3976.6497630585022,2,0,0,-1,1,2,1,680265,1305,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,28,11,0,17
37,37,2,1,11.05366587638855,13.393975667015184,0.3725447080214508,3.145736582984682,5.643430625030305,3.926734290958848,0.24917008297052234,11.05378658301197,24.82477804197697,optimized,,680265,218360,9338892,0.0,42,3885.104990434258,3885.1050152205157,2,0,0,-1,1,2,1,680265,1310,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,27,12,0,15
38,38,2,1,8.319370985031128,14.144458250026219,0.3718323750072159,3.2098824999993667,6.2864941250300035,3.9722939589992166,0.24532587500289083,8.319513499969617,22.840172833995894,optimized,,680265,218360,9579132,0.0,32,4008.645600703132,4008.6456061211297,2,0,0,-1,1,2,1,680265,1315,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,20,9,0,11
39,39,2,1,9.209159135818481,13.742770667013247,0.3741592500009574,3.004651124996599,6.168684666976333,3.8789653329877183,0.2509614590089768,9.20929695898667,23.330486582999583,optimized,,680265,218360,9602252,0.0,33,3902.128131837472,3902.1281437387515,2,0,0,-1,1,2,1,680265,1315,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,22,15,0,7
40,40,2,1,9.095844984054565,13.957579167035874,0.3779166250023991,3.067656875005923,5.536449292034376,4.674765500007197,0.2487920830026269,9.096004082995933,23.435792833042797,optimized,,680265,218360,9645452,0.0,33,3935.7639688518634,3935.763996432627,2,0,0,-1,1,2,1,680265,1315,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,21,15,0,6
41,41,2,1,9.618070125579834,13.541272125032265,0.37849766603903845,3.1998687500017695,5.813834332977422,3.8308964159805328,0.2573054170352407,9.618203958962113,23.542097665951587,optimized,,680265,218360,9225292,0.0,35,3822.5544119110405,3822.55444274735,2,0,0,-1,1,2,1,680265,1315,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,20,15,0,5
42,42,2,1,11.374886989593506,14.320009166025557,0.3739675409742631,3.274214040953666,6.22974558302667,4.117098083021119,0.25601145898690447,11.375001874985173,26.073201166989747,optimized,,680265,218360,9440652,0.0,47,3766.8466009158487,3766.846603599606,2,0,0,-1,1,2,1,680265,1315,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,17,11,0,6
43,43,2,1,10.007790088653564,14.863226667046547,0.3798488749889657,3.392203541006893,6.511296332988422,4.247486291977111,0.26073620800161734,10.007918458955828,25.255372292012908,optimized,,680265,218360,10304412,0.0,40,3678.8845766424542,3678.8846083176486,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,23,20,0,3
44,44,2,1,10.823782920837402,15.157887249952182,0.38083799998275936,3.4564269999973476,6.280036207986996,4.675480333971791,0.27042887499555945,10.823938540997915,26.367182291985955,optimized,,680265,218360,10273772,0.0,43,3747.4466009906905,3747.4466119011086,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,16,11,0,5
45,45,2,1,9.247422933578491,15.169025790994056,0.3881014999933541,3.531481249956414,6.2275347909890115,4.674341916979756,0.266646167030558,9.247552582994103,24.80971679202048,optimized,,680265,218360,10376972,0.0,34,3781.2510458639276,3781.251050727737,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,14,11,0,3
46,46,2,1,11.021901845932007,16.07774249999784,0.3798689999966882,3.662174707977101,6.726197875046637,4.925888166995719,0.2769603750202805,11.022028208011761,27.485475416993722,optimized,,680265,218360,10146892,0.0,40,3883.354707235565,3883.354710259537,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,13,8,0,5
47,47,2,1,10.614857912063599,15.467511540977284,0.37761445896467194,3.197041541978251,6.280735457956325,5.2877197920461185,0.25786670797970146,10.615033707988914,26.464343792002182,optimized,,680265,218360,10398812,0.0,44,3921.7107427867427,3921.7107721005286,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,10,7,0,3
48,48,2,1,10.794912099838257,14.004900833009742,0.3738707499578595,3.1986634590430185,6.136962165997829,3.9673251250060275,0.25991437502671033,10.795032874972094,25.179168667003978,optimized,,680265,218360,9305132,0.0,39,3946.4279101648767,3946.4279405019042,2,0,0,-1,1,2,1,680265,1325,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,11,9,0,2
49,49,2,1,9.33874797821045,14.898015540966298,0.39291658299043775,3.4125669579952955,6.545385874982458,4.209512542001903,0.26918737503001466,9.338878875016235,24.634116416971665,optimized,,680265,218360,9165372,0.0,35,3799.94522248405,3799.9452286481155,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,11,8,0,3
50,50,2,1,9.4999520778656,15.57029420795152,0.37963674997445196,3.6230722500476986,6.927683041954879,4.295506292022765,0.26222966698696837,9.500081125006545,25.455125207954552,optimized,,680265,218360,9696972,0.0,37,3843.1546088922178,3843.1546297540203,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,21,18,0,3
51,51,2,1,11.135183095932007,15.557123749982566,0.37830091698560864,3.573992541991174,6.7722743329941295,4.4865297920187,0.2617873330018483,11.135305958043318,27.075789249967784,optimized,,680265,218360,10442972,0.0,44,3804.6536604900066,3804.653669895681,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,13,8,0,5
52,52,2,1,10.898382902145386,16.66391487501096,0.3788708340143785,3.542128583008889,7.959964082983788,4.435490417003166,0.2608666659798473,10.898501124989707,27.94711929204641,optimized,,680265,218360,9684092,0.0,38,3870.4887246284193,3870.4887296227475,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,11,8,0,3
53,53,2,1,10.044951915740967,15.598580833990127,0.3798205830389634,3.1082203749683686,7.290578917018138,4.451451708970126,0.26700649998383597,10.045084874960594,26.02884358400479,optimized,,680265,218360,10729532,0.0,36,3941.010126543777,3941.010130149475,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,12,11,0,1
54,54,2,1,11.117927074432373,15.314639125019312,0.38026279205223545,3.2211757919867523,7.289370166021399,4.093158583971672,0.2607486249762587,11.118048625008669,26.818880582985003,optimized,,680265,218360,9908732,0.0,38,3860.7040566093474,3860.704058518361,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,8,7,0,1
55,55,2,1,14.148031949996948,14.195920124999247,0.37454770802287385,3.202985499985516,6.38506729202345,3.890194541949313,0.2609845419647172,14.148128625005484,28.723164917028043,optimized,,680265,218360,9703932,0.0,42,3764.399726010248,3764.399735029329,2,0,0,-1,1,2,1,680265,1325,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,8,8,0,0
56,56,2,1,9.556007146835327,14.54163554101251,0.3740002910490148,3.377117583004292,6.377114540955517,4.064050250046421,0.2604043749743141,9.556135040998925,24.47640916594537,optimized,,680265,218360,9896972,0.0,33,3601.319253552746,3601.319259693576,2,0,0,-1,1,2,1,680265,1325,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,19,9,0,10
57,57,2,1,8.973031044006348,14.006274209008552,0.3965026249643415,3.408697790990118,5.978568166960031,3.9087167500401847,0.2609274590504356,8.97316537500592,23.380229290982243,optimized,,680265,218360,9844972,0.0,32,3577.274829311762,3577.2748604240514,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,33,20,0,13
58,58,2,1,10.656128883361816,14.686564292002004,0.3788621670100838,3.309563499991782,6.748365834006108,3.9024158749962226,0.2658520830445923,10.656252791988663,25.726341957983095,optimized,,680265,218360,10014732,0.0,36,3533.408732418919,3533.4087429283622,2,0,0,-1,1,2,1,680265,1315,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,28,15,0,13
59,59,2,1,8.97641921043396,15.251251291949302,0.37810550001449883,3.052405374997761,6.928421000018716,4.53489770804299,0.26937016600277275,8.976555790985003,24.610501916962676,optimized,,680265,218360,9889932,0.0,33,3549.6519032707197,3549.651913590547,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,18,6,0,12
60,60,2,1,10.922977924346924,16.18944179196842,0.38227800000458956,3.3210919169941917,6.612926458008587,5.499490167014301,0.27675887499935925,10.923106791975442,27.500231874990277,optimized,,680265,218360,10305372,0.0,43,3541.4866276296043,3541.4866281480404,2,0,0,-1,1,2,1,680265,1320,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,26,15,0,11
61,61,2,1,2.710329055786133,8.121984584024176,0.37779054197017103,2.3992992909625173,3.507668707985431,1.6801736250054091,0.20706687500933185,2.7104718339978717,11.215495833021123,optimized,,510265,163770,3813536,0.0,34,3150.4744723578283,3150.474473520791,2,0,0,-1,1,2,1,510265,1060,,1,1,222720,205395,0,0,0,0,80295,795,1060,80295,0,80295,1590,795,795,0,0,,29,17,0,12
62,62,2,1,0.5111029148101807,4.9483213749481365,0.377956708020065,1.7330197080154903,1.8460442500072531,1.0211067080381326,0.13638949999585748,0.5112325840163976,5.843765874975361,optimized,,340265,109180,1305882,0.0,27,2664.248290774655,2664.2482907748586,2,0,0,-1,1,2,1,340265,789,,1,1,148480,136930,0,0,0,0,53530,530,795,53530,0,53530,1060,530,530,0,0,,41,27,0,14
63,63,2,1,0.032180070877075195,1.9503312499728054,0.3780578749720007,0.7392684999504127,0.6340153329656459,0.4043496670201421,0.06528270803391933,0.032257458951789886,2.3676227910327725,optimized,,170265,54590,393530,0.0,10,1688.2999998665805,1688.3000001271819,2,0,0,-1,1,2,1,170265,526,,1,1,74240,68465,0,0,0,0,26765,265,530,26765,0,26765,530,265,265,0,0,,17,4,0,13
