t,trace_t_start,reposition_status,reposition_sol_count,reposition_runtime_sec,reposition_build_time_sec,reposition_candidate_prep_time_sec,reposition_vars_build_time_sec,reposition_expressions_build_time_sec,reposition_constraints_build_time_sec,reposition_objective_build_time_sec,reposition_optimize_time_sec,reposition_wall_time_sec,reposition_outcome,reposition_note,reposition_num_vars,reposition_num_constrs,reposition_num_nz,reposition_iter_count,reposition_bar_iter_count,reposition_obj_val,reposition_obj_bound,reposition_solver_method,reposition_solver_crossover,reposition_numeric_focus,reposition_presolve,reposition_lp_warm_start_enabled,reposition_lp_warm_start_mode,reposition_lp_warm_start_applied,reposition_lp_warm_start_var_count,reposition_lp_warm_start_nonzero_count,reposition_lp_warm_start_note,reposition_use_preaggregation,reposition_use_aux_elimination,x_var_count,y_var_count,v_var_count,o_var_count,r_var_count,b_var_count,mu_var_count,served_var_count,full_stock_var_count,vacant_split_constr_count,b_def_constr_count,mu_le_b_constr_count,swap_cap_constr_count,full_dyn_constr_count,served_by_supply_constr_count,o_dyn_constr_count,v_dyn_constr_count,error,swap_requests,successful_swaps,charging_deadline_misses,waiting_vehicles
0,0,2,1,22.185420036315918,10.938772041001357,0.3858957920456305,3.044222666998394,4.494371459004469,2.7655536250094883,0.23060533398529515,22.18546837498434,33.51101779099554,optimized,,680265,218360,7941532,0.0,52,1873.0617704386393,1873.0617789602886,2,0,0,-1,1,2,1,680265,1325,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,1464,971,0,493
1,1,2,1,14.477298974990845,11.040339790983126,0.37391899997601286,2.8788830839912407,4.171504499972798,3.3615542910411023,0.23515545902773738,14.477409416984301,25.895945791038685,optimized,,680265,218360,7511132,0.0,54,1771.3714908576048,1771.3715005723202,2,0,0,-1,1,2,1,680265,775,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,506,6,0,500
2,2,2,1,16.105146884918213,10.250093875045422,0.37787133298115805,2.666793832962867,4.347687957982998,2.6016555830137804,0.23447133298031986,16.105239207972772,26.738119541027118,optimized,,680265,218360,7177452,0.0,67,1904.992781938865,1904.9927822832585,2,0,0,-1,1,2,1,680265,780,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,544,19,0,525
3,3,2,1,12.33464002609253,10.292526290984824,0.3704335830407217,2.886380291020032,4.116605499992147,2.648735166992992,0.23792750004213303,12.33475920802448,23.002312333032023,optimized,,680265,218360,7532812,0.0,41,1913.7443519501558,1913.7443596042262,2,0,0,-1,1,2,1,680265,755,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,529,6,0,523
4,4,2,1,11.817394971847534,11.04007637500763,0.3903029999928549,3.1001477499958128,4.390193625004031,2.905964082980063,0.23699629196198657,11.817515666014515,23.2534520420013,optimized,,680265,218360,8295132,0.0,40,2062.6819417671227,2062.6819508595063,2,0,0,-1,1,2,1,680265,755,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,545,5,0,540
5,5,2,1,12.291292190551758,10.757124541036319,0.37457787501625717,3.0393896670429967,4.299457082990557,2.7783240840071812,0.23852341604651883,12.291410291043576,23.429074042011052,optimized,,680265,218360,7799612,0.0,42,2197.7282058496567,2197.728222239615,2,0,0,-1,1,2,1,680265,750,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,549,7,0,542
6,6,2,1,12.894408941268921,11.351692875032313,0.3718678340082988,2.904947542003356,4.84099158301251,2.9507705830037594,0.24220162502024323,12.894522207963746,24.622923250019085,optimized,,680265,218360,8253772,0.0,47,2384.5543270728017,2384.5543290941087,2,0,0,-1,1,2,1,680265,745,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,544,4,0,540
7,7,2,1,9.780310869216919,11.998605541011784,0.36954079201677814,2.9104327079840004,4.762829208979383,3.6764885000302456,0.23757524997927248,9.78045254200697,22.153800500032958,optimized,,680265,218360,7844492,0.0,38,2496.656901764462,2496.6569145739654,2,0,0,-1,1,2,1,680265,750,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,552,13,0,539
8,8,2,1,9.040457010269165,12.506165541999508,0.37386716599576175,2.796894125000108,5.082786542014219,3.9715410000062548,0.2411992090055719,9.04059975000564,21.924774707993492,optimized,,680265,218360,8617292,0.0,35,2672.693513690489,2672.693540377273,2,0,0,-1,1,2,1,680265,755,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,544,10,0,534
9,9,2,1,11.613539934158325,11.916360915987752,0.3723932499997318,2.7328554579871707,5.224351292010397,3.3053879580111243,0.23742033302551135,11.613663249998353,23.906644041999243,optimized,,680265,218360,8971532,0.0,38,2822.6891800408275,2822.689184088478,2,0,0,-1,1,2,1,680265,755,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,534,8,0,526
