t,trace_t_start,reposition_status,reposition_sol_count,reposition_runtime_sec,reposition_build_time_sec,reposition_candidate_prep_time_sec,reposition_vars_build_time_sec,reposition_expressions_build_time_sec,reposition_constraints_build_time_sec,reposition_objective_build_time_sec,reposition_optimize_time_sec,reposition_wall_time_sec,reposition_outcome,reposition_note,reposition_num_vars,reposition_num_constrs,reposition_num_nz,reposition_iter_count,reposition_bar_iter_count,reposition_obj_val,reposition_obj_bound,reposition_solver_method,reposition_solver_crossover,reposition_numeric_focus,reposition_presolve,reposition_lp_warm_start_enabled,reposition_lp_warm_start_mode,reposition_lp_warm_start_applied,reposition_lp_warm_start_var_count,reposition_lp_warm_start_nonzero_count,reposition_lp_warm_start_note,reposition_use_preaggregation,reposition_use_aux_elimination,x_var_count,y_var_count,v_var_count,o_var_count,r_var_count,b_var_count,mu_var_count,served_var_count,full_stock_var_count,vacant_split_constr_count,b_def_constr_count,mu_le_b_constr_count,swap_cap_constr_count,full_dyn_constr_count,served_by_supply_constr_count,o_dyn_constr_count,v_dyn_constr_count,error,swap_requests,successful_swaps,charging_deadline_misses,waiting_vehicles
0,0,2,1,22.65280318260193,11.563039458997082,0.39187420799862593,3.2256736250128597,4.748439583985601,2.921042750007473,0.24122795899165794,22.652886750001926,34.60867354198126,optimized,,680265,218360,7941532,0.0,52,1873.0617704386393,1873.0617789602886,2,0,0,-1,1,2,1,680265,1325,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,1464,971,0,493
1,1,2,1,14.478758096694946,11.705412166018505,0.3929160409606993,3.120657833002042,4.381740832992364,3.554423958004918,0.23529070796212181,14.478884333977476,26.583399416995235,optimized,,680265,218360,7511132,0.0,54,1771.3714908576048,1771.3715005723202,2,0,0,-1,1,2,1,680265,775,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,506,6,0,500
2,2,2,1,16.704967975616455,10.742821541964076,0.38365600001998246,2.8053858329658397,4.549038249999285,2.7384157499764115,0.23745066701667383,16.7050776250544,27.837275374971796,optimized,,680265,218360,7177452,0.0,67,1904.992781938865,1904.9927822832585,2,0,0,-1,1,2,1,680265,780,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,544,19,0,525
3,3,2,1,12.403597116470337,10.73703033302445,0.38011204096255824,3.031896584026981,4.3068684579920955,2.7439219169900753,0.2405975420260802,12.403735041967593,23.526435958978254,optimized,,680265,218360,7532812,0.0,41,1913.7443519501558,1913.7443596042262,2,0,0,-1,1,2,1,680265,755,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,529,6,0,523
4,4,2,1,12.351824045181274,11.471971124992706,0.3780383749981411,3.159813749953173,4.569644666975364,3.0773265410098247,0.2472505829646252,12.351963667024393,24.206748500000685,optimized,,680265,218360,8295132,0.0,40,2062.6819417671227,2062.6819508595063,2,0,0,-1,1,2,1,680265,755,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,545,5,0,540
5,5,2,1,12.747978925704956,11.294522667012643,0.3807019169908017,3.157461999973748,4.5532916659722105,2.9243127089575864,0.24191462498856708,12.748137459042482,24.428106333012693,optimized,,680265,218360,7799612,0.0,42,2197.7282058496567,2197.728222239615,2,0,0,-1,1,2,1,680265,750,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,549,7,0,542
6,6,2,1,12.98241901397705,11.832018000015523,0.38562012498732656,3.024589999986347,5.052019666007254,3.0887132080388255,0.24329045799095184,12.982551458000671,25.20545750000747,optimized,,680265,218360,8253772,0.0,47,2384.5543270728017,2384.5543290941087,2,0,0,-1,1,2,1,680265,745,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,544,4,0,540
7,7,2,1,10.179062128067017,12.525596541992854,0.38436187501065433,3.0513418749906123,4.951248666970059,3.8638278750004247,0.24048304097959772,10.17920974997105,23.094700290996116,optimized,,680265,218360,7844492,0.0,38,2496.656901764462,2496.6569145739654,2,0,0,-1,1,2,1,680265,750,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,552,13,0,539
8,8,2,1,9.264420986175537,13.111128707998432,0.37583020800957456,2.912649334000889,5.330761499993969,4.201503083982971,0.24630441603949293,9.264656916959211,22.756248874997254,optimized,,680265,218360,8617292,0.0,35,2672.693513690489,2672.693540377273,2,0,0,-1,1,2,1,680265,755,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,544,10,0,534
9,9,2,1,11.347455024719238,12.352003458014224,0.3779202919686213,2.81773254199652,5.429841499950271,3.433422625006642,0.24402533296961337,11.347598624997772,24.08208287501475,optimized,,680265,218360,8971532,0.0,38,2822.6891800408275,2822.689184088478,2,0,0,-1,1,2,1,680265,755,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,534,8,0,526
10,10,2,1,11.286956071853638,12.0627653329866,0.373369500041008,2.9942801249562763,5.015986582962796,3.3761379580246285,0.2458015829906799,11.287095250037964,23.728978917002678,optimized,,680265,218360,9247372,0.0,42,2895.087518190723,2895.087538457973,2,0,0,-1,1,2,1,680265,780,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,530,16,0,514
11,11,2,1,15.672505855560303,13.019200291018933,0.3910688339965418,3.249296583002433,4.918994917010423,4.1725979169714265,0.2531749589834362,15.672620541998185,29.087547083036043,optimized,,680265,218360,8717372,0.0,55,3035.2645893207905,3035.2645904294686,2,0,0,-1,1,2,1,680265,785,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,525,21,0,504
12,12,2,1,11.471573829650879,12.048685374960769,0.3789875420043245,3.0029322499758564,5.065839540970046,3.301472917024512,0.2522977089975029,11.47171808296116,23.9042247919715,optimized,,680265,218360,8535532,0.0,40,3198.1730697580615,3198.1730803090404,2,0,0,-1,1,2,1,680265,850,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,510,33,0,477
13,13,2,1,11.520082950592041,12.96584904199699,0.38066066603641957,3.0853065839619376,5.715800500009209,3.4834919999702834,0.2534521670313552,11.520226082997397,24.871227208990604,optimized,,680265,218360,8406652,0.0,40,3379.948475235143,3379.948479727561,2,0,0,-1,1,2,1,680265,850,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,477,26,0,451
14,14,2,1,11.174346923828125,12.496111582964659,0.37770787498448044,3.100720042013563,5.0936864169780165,3.627150417014491,0.24996979197021574,11.17451224999968,24.053148125007283,optimized,,680265,218360,8517612,0.0,38,3482.9746786118876,3482.9746873824456,2,0,0,-1,1,2,1,680265,885,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,453,37,0,416
15,15,2,1,10.333401918411255,12.946472749987151,0.37945166701683775,3.139250500011258,5.507460709020961,3.621729790989775,0.24867133295629174,10.333544499997515,23.665579415974207,optimized,,680265,218360,8785612,0.0,39,3484.646508793085,3484.6465125103146,2,0,0,-1,1,2,1,680265,945,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,420,58,0,362
16,16,2,1,10.568263053894043,13.121333417017013,0.37638120900373906,3.027552707993891,5.154597665998153,4.257041291974019,0.25246979197254404,10.568406666978262,24.07059920899337,optimized,,680265,218360,8862652,0.0,38,3543.123049852982,3543.1230634667304,2,0,0,-1,1,2,1,680265,975,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,364,51,0,313
17,17,2,1,13.76432991027832,13.53618270898005,0.3799742090050131,3.0010093330056407,5.276221375039313,4.568399875017349,0.24721937498543411,13.764457250013947,27.68540745903738,optimized,,680265,218360,9292092,0.0,53,3678.994951996693,3678.9949532355377,2,0,0,-1,1,2,1,680265,1110,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,318,52,0,266
18,18,2,1,14.606963872909546,13.67500474996632,0.37692837498616427,2.9943680420401506,6.060581583005842,3.926282041997183,0.24741329200332984,14.607089292025194,28.66385320801055,optimized,,680265,218360,9349372,0.0,49,3905.2218667453003,3905.221895184266,2,0,0,-1,1,2,1,680265,1190,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,272,53,0,219
