time_slot,charging_demand,number_of_swaps,unmet_battery_demand,served,idle_moves,swap_arrivals,swap_requests,swap_success_ratio,deadline_misses,deadline_miss_ratio,charging_deadline_misses,charging_deadline_miss_ratio,charging_power_kw,total_charging_demand_kw,station_total_power_kw,peak_station_power_kw,waiting_time_for_battery_slots,waiting_vehicles,idle_driving_distance,vacant,occupied,full_batteries,t
0,616,616,132,970,1718,748,748,0.8235294117647058,132,0.17647058823529413,0,0.0,18480.0,18480.0,23780.0,110.0,132.0,132,0.0,3309,315,709,0
1,748,132,24,837,861,24,156,0.8461538461538461,24,0.15384615384615385,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3304,428,577,1
2,748,0,24,774,774,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3291,441,577,2
3,748,0,24,723,723,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3283,449,577,3
4,748,0,24,694,694,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3284,448,577,4
5,748,0,24,683,683,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3327,405,577,5
6,748,0,24,708,708,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3367,365,577,6
7,748,0,24,660,660,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3419,313,577,7
8,748,0,24,690,690,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3422,310,577,8
9,748,0,24,654,654,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3454,278,577,9
10,748,0,24,608,608,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3465,267,577,10
11,748,0,24,526,526,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3510,222,577,11
12,749,1,24,553,554,1,25,0.04,24,0.96,0,0.0,18480.0,22470.0,23780.0,110.0,24.0,24,0.0,3544,188,576,12
13,749,0,24,531,531,0,24,0.0,24,1.0,0,0.0,18480.0,22470.0,23780.0,110.0,24.0,24,0.0,3565,167,576,13
14,749,0,24,477,477,0,24,0.0,24,1.0,0,0.0,18480.0,22470.0,23780.0,110.0,24.0,24,0.0,3615,117,576,14
15,750,1,24,489,490,1,25,0.04,24,0.96,0,0.0,18510.0,22500.0,23810.0,110.0,24.0,24,0.0,3624,108,598,15
